title,year,rating,genres,director,writers,stars
Um Sonho de Liberdade,1994,9.2,['Drama'],"['Frank Darabont', '']","['Stephen King', 'Frank Darabont', '', '']","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', '', '', '']"
O Poderoso Chefão,1972,9.0,"['Crime', 'Drama']","['Francis Ford Coppola', '']","['Mario Puzo', 'Francis Ford Coppola', '', '']","['Marlon Brando', 'Al Pacino', 'James Caan', '', '', '']"
